Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,11000,,,0.07085452973842621,8.646514892578125,8.632365226745605,0.6925947070121765,0.67,0.0005
,,,,,11001,15.0,15,,,,,,
,,,,,11015,14.0,14,,,,,,
,,,,,11040,25.0,25,,,,,,
,,,,,11084,44.0,44,,,,,,
,,,,,11102,18.0,18,,,,,,
,,,,,11113,11.0,11,,,,,,
,,,,,11134,21.0,21,,,,,,
,,,,,11167,33.0,33,,,,,,
,,,,,11180,13.0,13,,,,,,
,,,,,11191,11.0,11,,,,,,
,,,,,11244,53.0,53,,,,,,
,,,,,11280,36.0,36,,,,,,
,,,,,11297,17.0,17,,,,,,
,,,,,11305,8.0,8,,,,,,
,,,,,11321,16.0,16,,,,,,
,,,,,11356,35.0,35,,,,,,
,,,,,11385,29.0,29,,,,,,
,,,,,11408,23.0,23,,,,,,
,,,,,11435,27.0,27,,,,,,
,,,,,11447,12.0,12,,,,,,
,,,,,11478,31.0,31,,,,,,
,,,,,11498,20.0,20,,,,,,
,,,,,11537,39.0,39,,,,,,
,,,,,11573,36.0,36,,,,,,
,,,,,11594,21.0,21,,,,,,
,,,,,11614,20.0,20,,,,,,
,,,,,11630,16.0,16,,,,,,
,,,,,11645,15.0,15,,,,,,
,,,,,11669,24.0,24,,,,,,
,,,,,11681,12.0,12,,,,,,
,,,,,11703,22.0,22,,,,,,
,,,,,11714,11.0,11,,,,,,
,,,,,11739,25.0,25,,,,,,
,,,,,11766,27.0,27,,,,,,
,,,,,11803,37.0,37,,,,,,
,,,,,11814,11.0,11,,,,,,
,,,,,11830,16.0,16,,,,,,
,,,,,11842,12.0,12,,,,,,
,,,,,11859,17.0,17,,,,,,
,,,,,11880,21.0,21,,,,,,
,,,,,11897,17.0,17,,,,,,
,,,,,11912,15.0,15,,,,,,
,,,,,11926,14.0,14,,,,,,
,,,,,11946,20.0,20,,,,,,
,,,,,11969,23.0,23,,,,,,
,,,,,11998,29.0,29,,,,,,
,,,,,12000,,,0.05285989120602608,9.370044708251953,9.365598678588867,0.8933768272399902,0.6399999999999999,0.0005
,,,,,12022,24.0,24,,,,,,
,,,,,12036,14.0,14,,,,,,
,,,,,12077,41.0,41,,,,,,
,,,,,12093,16.0,16,,,,,,
,,,,,12113,20.0,20,,,,,,
,,,,,12123,10.0,10,,,,,,
,,,,,12137,14.0,14,,,,,,
,,,,,12149,12.0,12,,,,,,
,,,,,12174,25.0,25,,,,,,
,,,,,12198,24.0,24,,,,,,
,,,,,12223,25.0,25,,,,,,
,,,,,12238,15.0,15,,,,,,
,,,,,12250,12.0,12,,,,,,
,,,,,12281,31.0,31,,,,,,
,,,,,12296,15.0,15,,,,,,
,,,,,12316,20.0,20,,,,,,
,,,,,12348,32.0,32,,,,,,
,,,,,12358,10.0,10,,,,,,
,,,,,12377,19.0,19,,,,,,
,,,,,12399,22.0,22,,,,,,
,,,,,12437,38.0,38,,,,,,
,,,,,12448,11.0,11,,,,,,
,,,,,12457,9.0,9,,,,,,
,,,,,12476,19.0,19,,,,,,
110.9,39.162354,219.0,82.0,110.9,12500,,,0.10811839997768402,10.195585250854492,10.153735160827637,1.665590763092041,0.625,0.0005
,,,,,12503,27.0,27,,,,,,
,,,,,12516,13.0,13,,,,,,
,,,,,12529,13.0,13,,,,,,
,,,,,12541,12.0,12,,,,,,
,,,,,12560,19.0,19,,,,,,
,,,,,12573,13.0,13,,,,,,
,,,,,12597,24.0,24,,,,,,
