Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,89000,,,-271.59124755859375,-6.01799201965332,0.7670832872390747,270.6990051269531,270.6653137207031,0.037431761622428894,0.1000882089138031,0.0003,0.0003,0.037432264536619186
,,,,,89999,3729.1836,1000,,,,,,,,,,
3800.3667,57.75156,3869.4082,3660.9558,1000.0,90000,,,-277.3318786621094,-6.326241493225098,0.6173225045204163,276.3075866699219,276.423583984375,0.038159530609846115,0.8214426636695862,0.0003,0.0003,0.03816225007176399
,,,,,90999,2404.7861,1000,,,,,,,,,,
,,,,,91000,,,-276.9125061035156,-6.351805686950684,0.8888723850250244,276.02032470703125,275.96417236328125,0.038615066558122635,0.9336901307106018,0.0003,0.0003,0.038616422563791275
,,,,,91999,3542.508,1000,,,,,,,,,,
,,,,,92000,,,-286.8056335449219,-6.718533992767334,0.6819559335708618,285.76300048828125,285.6760559082031,0.03890778124332428,1.3519232273101807,0.0003,0.0003,0.03890829160809517
,,,,,92999,3819.9448,1000,,,,,,,,,,
,,,,,93000,,,-278.2831726074219,-6.253616809844971,0.6269576549530029,277.37908935546875,277.2855529785156,0.03892926126718521,1.1171926259994507,0.0003,0.0003,0.0389297790825367
,,,,,93999,3745.3157,1000,,,,,,,,,,
,,,,,94000,,,-288.9368591308594,-6.537216663360596,0.5818552374839783,287.9722900390625,287.9548034667969,0.03913477435708046,1.993924617767334,0.0003,0.0003,0.03913646191358566
,,,,,94999,3720.916,1000,,,,,,,,,,
3871.6094,34.174816,3928.6562,3819.2925,1000.0,95000,,,-288.9961242675781,-5.904021739959717,0.808628499507904,288.0601806640625,288.2035217285156,0.03951521962881088,-1.1503620147705078,0.0003,0.0003,0.03951489180326462
,,,,,95999,3830.437,1000,,,,,,,,,,
,,,,,96000,,,-286.8502502441406,-5.681559085845947,0.6841973662376404,286.0205078125,286.05206298828125,0.03958168625831604,-1.2342900037765503,0.0003,0.0003,0.03958134725689888
,,,,,96999,3806.0364,1000,,,,,,,,,,
,,,,,97000,,,-291.1824951171875,-5.97775936126709,0.6476951241493225,290.3259582519531,290.3177185058594,0.040117595344781876,0.08008988201618195,0.0003,0.0003,0.0401180163025856
,,,,,97999,3891.3857,1000,,,,,,,,,,
,,,,,98000,,,-297.2032775878906,-5.837100028991699,0.984220027923584,295.93658447265625,296.1372985839844,0.040803391486406326,0.16019198298454285,0.0003,0.0003,0.040803369134664536
,,,,,98999,3882.5127,1000,,,,,,,,,,
,,,,,99000,,,-292.5894470214844,-6.075483322143555,0.7769247889518738,291.6904296875,291.54193115234375,0.041707057505846024,-0.4218815565109253,0.0003,0.0003,0.04170998930931091
,,,,,99999,3847.9773,1000,,,,,,,,,,
3789.7454,520.6194,4017.0205,2231.1824,1000.0,100000,,,-304.57720947265625,-6.094113349914551,0.733110785484314,303.71142578125,303.6401062011719,0.04271532595157623,0.25298628211021423,0.0003,0.0003,0.0427168533205986
,,,,,100999,3911.2031,1000,,,,,,,,,,
,,,,,101000,,,-297.62847900390625,-6.192989349365234,0.7516684532165527,296.7012023925781,296.7117614746094,0.044879548251628876,-0.33333179354667664,0.0003,0.0003,0.044882241636514664
,,,,,101999,3945.6875,1000,,,,,,,,,,
,,,,,102000,,,-298.4651184082031,-6.193502426147461,0.9287285804748535,297.24273681640625,297.26641845703125,0.04684820771217346,-0.016551047563552856,0.0003,0.0003,0.04684891179203987
,,,,,102999,3898.2295,1000,,,,,,,,,,
,,,,,103000,,,-300.7981262207031,-6.234891414642334,1.0594227313995361,299.76812744140625,299.7103271484375,0.04939040169119835,0.14774620532989502,0.0003,0.0003,0.04939237982034683
,,,,,103999,3833.7124,1000,,,,,,,,,,
,,,,,104000,,,-296.4578552246094,-6.236403942108154,1.7376384735107422,295.20294189453125,295.2267761230469,0.05153072252869606,0.15885433554649353,0.0003,0.0003,0.05153154581785202
,,,,,104999,3912.8816,1000,,,,,,,,,,
4034.134,25.451365,4075.4788,3994.3877,1000.0,105000,,,-301.3717346191406,-5.937874794006348,1.4934413433074951,300.1501159667969,300.1978454589844,0.05297335982322693,-0.1085110604763031,0.0003,0.0003,0.05297534540295601
,,,,,105999,4000.1975,1000,,,,,,,,,,
,,,,,106000,,,-308.03985595703125,-6.115033149719238,1.2892017364501953,306.9110107421875,306.9466247558594,0.05391702055931091,1.2625387907028198,0.0003,0.0003,0.05391678959131241
,,,,,106999,3983.2256,1000,,,,,,,,,,
,,,,,107000,,,-309.1495361328125,-5.918557167053223,1.1285678148269653,308.0599365234375,307.7985534667969,0.05402708053588867,0.3627251088619232,0.0003,0.0003,0.054027918726205826
,,,,,107999,3990.1646,1000,,,,,,,,,,
,,,,,108000,,,-313.78973388671875,-5.88101863861084,1.1351838111877441,312.78546142578125,312.83648681640625,0.05338698998093605,-1.0481221675872803,0.0003,0.0003,0.053383708000183105
,,,,,108999,4032.9016,1000,,,,,,,,,,
,,,,,109000,,,-311.8949279785156,-5.878044128417969,0.8737284541130066,311.0088195800781,310.8902282714844,0.0525243878364563,-0.35466575622558594,0.0003,0.0003,0.05252078175544739
,,,,,109999,4044.8225,1000,,,,,,,,,,
4090.08,74.49699,4143.9175,3878.798,1000.0,110000,,,-310.68511962890625,-5.919279098510742,1.2147982120513916,309.694091796875,309.88446044921875,0.05311297997832298,-0.6027011871337891,0.0003,0.0003,0.0531139150261879
,,,,,110999,4131.9927,1000,,,,,,,,,,
,,,,,111000,,,-321.77972412109375,-5.813966751098633,0.9987287521362305,320.6263732910156,320.7872314453125,0.054034654051065445,-0.2795444428920746,0.0003,0.0003,0.054033584892749786
,,,,,111999,4161.4927,1000,,,,,,,,,,
,,,,,112000,,,-314.0020446777344,-6.4207844734191895,0.9435995817184448,312.7916259765625,312.8133850097656,0.054698601365089417,1.1847599744796753,0.0003,0.0003,0.054700229316949844
,,,,,112999,4181.4272,1000,,,,,,,,,,
,,,,,113000,,,-326.865966796875,-5.875899314880371,1.2964556217193604,325.88201904296875,325.7279357910156,0.055626556277275085,0.09037555009126663,0.0003,0.0003,0.055626168847084045
,,,,,113999,4188.051,1000,,,,,,,,,,
,,,,,114000,,,-324.5821838378906,-5.623234272003174,1.328858733177185,323.6895751953125,323.5169982910156,0.05699526518583298,-0.5411686301231384,0.0003,0.0003,0.05699337646365166
,,,,,114999,4167.4146,1000,,,,,,,,,,
4143.667,49.85925,4211.2935,4048.8228,1000.0,115000,,,-330.2961730957031,-6.011910915374756,1.0131162405014038,329.3046569824219,329.23907470703125,0.057964447885751724,-1.113825798034668,0.0003,0.0003,0.05796469748020172
